inst name: dvi_encoder_m0/encg/din_q[1]/opit_0, gop: gopQ, impl:devDQ_S, loc(86, 357), worst slack: 10182
inst name: dvi_encoder_m0/encg/din_q[2]/opit_0, gop: gopQ, impl:devCQ, loc(90, 345), worst slack: 10052
inst name: dvi_encoder_m0/encg/din_q[3]/opit_0, gop: gopQ, impl:devDQ, loc(90, 345), worst slack: 10217
inst name: dvi_encoder_m0/encg/din_q[4]/opit_0, gop: gopQ, impl:devAQ, loc(90, 345), worst slack: 10188
inst name: dvi_encoder_m0/encg/din_q[5]/opit_0, gop: gopQ, impl:devBQ, loc(98, 352), worst slack: 11094
inst name: dvi_encoder_m0/encg/din_q[6]/opit_0, gop: gopQ, impl:devABQ, loc(90, 345), worst slack: 11272
inst name: dvi_encoder_m0/encg/din_q[7]/opit_0, gop: gopQ, impl:devBQ_S, loc(86, 357), worst slack: 11806
inst name: dvi_encoder_m0/encg/dout[0]/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ, loc(98, 349), worst slack: 1334
inst name: dvi_encoder_m0/encg/dout[1]/opit_0_inv_L5Q, gop: gopL5Q, impl:devDLQ_S, loc(102, 357), worst slack: 1457
inst name: dvi_encoder_m0/encg/dout[2]/opit_0_inv_L5Q, gop: gopL5Q, impl:devCLQ, loc(90, 357), worst slack: 1370
inst name: dvi_encoder_m0/encg/dout[3]/opit_0_inv_L5Q, gop: gopL5Q, impl:devDLQ, loc(90, 357), worst slack: 1496
inst name: dvi_encoder_m0/encg/dout[4]/opit_0_inv_L5Q, gop: gopL5Q, impl:devCLQ, loc(98, 349), worst slack: 1608
inst name: dvi_encoder_m0/encg/dout[5]/opit_0_inv_L5Q, gop: gopL5Q, impl:devBLQ, loc(90, 357), worst slack: 1507
inst name: dvi_encoder_m0/encg/dout[6]/opit_0_inv_L5Q, gop: gopL5Q, impl:devBLQ, loc(98, 349), worst slack: 1618
inst name: dvi_encoder_m0/encg/dout[7]/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ, loc(90, 357), worst slack: 1498
inst name: dvi_encoder_m0/encg/dout[8]/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ, loc(106, 353), worst slack: 1369
inst name: dvi_encoder_m0/encg/dout[9]/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ_S, loc(102, 357), worst slack: 1663
inst name: dvi_encoder_m0/encg/n0q_m[0]/opit_0_L5Q, gop: gopL5Q, impl:devALQ_S, loc(94, 365), worst slack: 8296
inst name: dvi_encoder_m0/encg/n0q_m[1]/opit_0_L5Q, gop: gopL5Q, impl:devDLQ_S, loc(94, 365), worst slack: 8196
inst name: dvi_encoder_m0/encg/n0q_m[2]/opit_0_L5Q, gop: gopL5Q, impl:devBLQ_S, loc(94, 365), worst slack: 8396
inst name: dvi_encoder_m0/encg/n0q_m[3]/opit_0_L5Q, gop: gopL5Q, impl:devCLQ_S, loc(94, 365), worst slack: 8244
